Date,Country,Cases
24-03-2020,China,81 218
24-03-2020,Italy,74 386
24-03-2020,United States,54 428
24-03-2020,Spain,47 610
24-03-2020,Germany,35 740
24-03-2020,Iran,27 077
24-03-2020,France,22 304
24-03-2020,Switzerland,10 897
24-03-2020,South Korea,9 137
24-03-2020,United Kingdom,8 077
25-03-2020,China,81 218
25-03-2020,Italy,74 386
25-03-2020,United States,54 428
25-03-2020,Spain,47 610
25-03-2020,Germany,35 740
25-03-2020,Iran,27 077
25-03-2020,France,22 304
25-03-2020,Switzerland,10 897
25-03-2020,South Korea,9 137
25-03-2020,United Kingdom,8 077
26-03-2020,China,81 285
26-03-2020,Italy,74 386
26-03-2020,United States,68 481
26-03-2020,Spain,56 188
26-03-2020,Germany,41 255
26-03-2020,Iran,29 406
26-03-2020,France,25 233
26-03-2020,Switzerland,11 435
26-03-2020,United Kingdom,9 529
26-03-2020,South Korea,9 241
